id,subject,grade,sourceType,sourceId,lessonId,title,text,profileId,voice,localOutputPath,r2ObjectKey,status,fileSize,error
eng6-pilot-001,tieng-anh,6,lesson-card,eng6-b2-u01-vocabulary-my-new-school-c01,1,Unit 1: My New School,"Chủ đề: school, classmates and school activities. Bài này giúp em nhận biết và dùng từ vựng trong tình huống quen thuộc.",en-v1-pilot,en-US-Neural2-F,F:\1_A_Disk_D\khuong-binh\lop6-tts-audio\en-v1-pilot\lesson-card-eng6-b2-u01-vocabulary-my-new-school-c01.mp3,audio/tts/assets/en-v1-pilot/lesson-card-eng6-b2-u01-vocabulary-my-new-school-c01.mp3,planned,0,
eng6-pilot-002,tieng-anh,6,lesson-card,eng6-b2-u01-vocabulary-my-new-school-c02,1,Từ vựng trọng tâm,subject = môn học; classmate = bạn cùng lớp; uniform = đồng phục; library = thư viện; homework = bài tập về nhà; lesson = bài học,en-v1-pilot,en-US-Neural2-F,F:\1_A_Disk_D\khuong-binh\lop6-tts-audio\en-v1-pilot\lesson-card-eng6-b2-u01-vocabulary-my-new-school-c02.mp3,audio/tts/assets/en-v1-pilot/lesson-card-eng6-b2-u01-vocabulary-my-new-school-c02.mp3,planned,0,
eng6-pilot-003,tieng-anh,6,lesson-card,eng6-b2-u01-vocabulary-my-new-school-c03,1,Nhóm nghĩa cần nhớ,Hãy gom từ theo nhóm: người/vật/nơi chốn/hành động/tính từ để nhớ lâu hơn.,en-v1-pilot,en-US-Neural2-F,F:\1_A_Disk_D\khuong-binh\lop6-tts-audio\en-v1-pilot\lesson-card-eng6-b2-u01-vocabulary-my-new-school-c03.mp3,audio/tts/assets/en-v1-pilot/lesson-card-eng6-b2-u01-vocabulary-my-new-school-c03.mp3,planned,0,
eng6-pilot-004,tieng-anh,6,lesson-card,eng6-b2-u01-vocabulary-my-new-school-c04,1,Ví dụ câu ngắn,Ví dụ: I like my subject.,en-v1-pilot,en-US-Neural2-F,F:\1_A_Disk_D\khuong-binh\lop6-tts-audio\en-v1-pilot\lesson-card-eng6-b2-u01-vocabulary-my-new-school-c04.mp3,audio/tts/assets/en-v1-pilot/lesson-card-eng6-b2-u01-vocabulary-my-new-school-c04.mp3,planned,0,
eng6-pilot-005,tieng-anh,6,lesson-card,eng6-b2-u01-grammar-my-new-school-c01,2,Grammar Unit 1,Bài này luyện ngữ pháp dùng trong chủ đề My New School.,en-v1-pilot,en-US-Neural2-F,F:\1_A_Disk_D\khuong-binh\lop6-tts-audio\en-v1-pilot\lesson-card-eng6-b2-u01-grammar-my-new-school-c01.mp3,audio/tts/assets/en-v1-pilot/lesson-card-eng6-b2-u01-grammar-my-new-school-c01.mp3,planned,0,
eng6-pilot-006,tieng-anh,6,lesson-card,eng6-b2-u01-grammar-my-new-school-c02,2,Điểm ngữ pháp 1,Use the present simple for habits and routines: I go to school at seven.,en-v1-pilot,en-US-Neural2-F,F:\1_A_Disk_D\khuong-binh\lop6-tts-audio\en-v1-pilot\lesson-card-eng6-b2-u01-grammar-my-new-school-c02.mp3,audio/tts/assets/en-v1-pilot/lesson-card-eng6-b2-u01-grammar-my-new-school-c02.mp3,planned,0,
eng6-pilot-007,tieng-anh,6,lesson-card,eng6-b2-u01-grammar-my-new-school-c03,2,Điểm ngữ pháp 2,"Use always, usually, often, sometimes, never before the main verb: I often read books.",en-v1-pilot,en-US-Neural2-F,F:\1_A_Disk_D\khuong-binh\lop6-tts-audio\en-v1-pilot\lesson-card-eng6-b2-u01-grammar-my-new-school-c03.mp3,audio/tts/assets/en-v1-pilot/lesson-card-eng6-b2-u01-grammar-my-new-school-c03.mp3,planned,0,
eng6-pilot-008,tieng-anh,6,lesson-card,eng6-b2-u01-grammar-my-new-school-c04,2,Công thức câu,"Hãy nhìn chủ ngữ, thì/cấu trúc, rồi chọn động từ hoặc từ nối phù hợp.",en-v1-pilot,en-US-Neural2-F,F:\1_A_Disk_D\khuong-binh\lop6-tts-audio\en-v1-pilot\lesson-card-eng6-b2-u01-grammar-my-new-school-c04.mp3,audio/tts/assets/en-v1-pilot/lesson-card-eng6-b2-u01-grammar-my-new-school-c04.mp3,planned,0,
eng6-pilot-009,tieng-anh,6,question,eng6-b2-u01-vocabulary-my-new-school-q001,1,What does 'subject' mean in Vietnamese?,What does 'subject' mean in Vietnamese?,en-v1-pilot,en-US-Neural2-F,F:\1_A_Disk_D\khuong-binh\lop6-tts-audio\en-v1-pilot\question-eng6-b2-u01-vocabulary-my-new-school-q001.mp3,audio/tts/assets/en-v1-pilot/question-eng6-b2-u01-vocabulary-my-new-school-q001.mp3,planned,0,
eng6-pilot-010,tieng-anh,6,question,eng6-b2-u01-vocabulary-my-new-school-q002,1,What does 'classmate' mean in Vietnamese?,What does 'classmate' mean in Vietnamese?,en-v1-pilot,en-US-Neural2-F,F:\1_A_Disk_D\khuong-binh\lop6-tts-audio\en-v1-pilot\question-eng6-b2-u01-vocabulary-my-new-school-q002.mp3,audio/tts/assets/en-v1-pilot/question-eng6-b2-u01-vocabulary-my-new-school-q002.mp3,planned,0,
eng6-pilot-011,tieng-anh,6,question,eng6-b2-u01-vocabulary-my-new-school-q003,1,What does 'uniform' mean in Vietnamese?,What does 'uniform' mean in Vietnamese?,en-v1-pilot,en-US-Neural2-F,F:\1_A_Disk_D\khuong-binh\lop6-tts-audio\en-v1-pilot\question-eng6-b2-u01-vocabulary-my-new-school-q003.mp3,audio/tts/assets/en-v1-pilot/question-eng6-b2-u01-vocabulary-my-new-school-q003.mp3,planned,0,
eng6-pilot-012,tieng-anh,6,question,eng6-b2-u01-grammar-my-new-school-q001,2,I ____ to school every day.,I ____ to school every day.,en-v1-pilot,en-US-Neural2-F,F:\1_A_Disk_D\khuong-binh\lop6-tts-audio\en-v1-pilot\question-eng6-b2-u01-grammar-my-new-school-q001.mp3,audio/tts/assets/en-v1-pilot/question-eng6-b2-u01-grammar-my-new-school-q001.mp3,planned,0,
eng6-pilot-013,tieng-anh,6,question,eng6-b2-u01-grammar-my-new-school-q002,2,She ____ English on Mondays.,She ____ English on Mondays.,en-v1-pilot,en-US-Neural2-F,F:\1_A_Disk_D\khuong-binh\lop6-tts-audio\en-v1-pilot\question-eng6-b2-u01-grammar-my-new-school-q002.mp3,audio/tts/assets/en-v1-pilot/question-eng6-b2-u01-grammar-my-new-school-q002.mp3,planned,0,
eng6-pilot-014,tieng-anh,6,question,eng6-b2-u01-grammar-my-new-school-q003,2,I ____ play football after school.,I ____ play football after school.,en-v1-pilot,en-US-Neural2-F,F:\1_A_Disk_D\khuong-binh\lop6-tts-audio\en-v1-pilot\question-eng6-b2-u01-grammar-my-new-school-q003.mp3,audio/tts/assets/en-v1-pilot/question-eng6-b2-u01-grammar-my-new-school-q003.mp3,planned,0,
