id,subject,grade,sourceType,sourceId,lessonId,title,text,voiceProfile,voice,plannedPath,localOutputPath,status,fileSize,error
nv6-pilot-001,ngu-van,6,lesson-title,lit6-b2-l01-toi-va-cac-ban-title,1,Tên bài,Tôi và các bạn,vi-v1,vi-VN-Chirp3-HD-Despina,F:\1_A_Disk_D\khuong-binh\lop6-tts-audio\ngu-van-vi-v1-pilot\lesson-title-lit6-b2-l01-toi-va-cac-ban-title.mp3,F:\1_A_Disk_D\khuong-binh\lop6-tts-audio\ngu-van-vi-v1-pilot\lesson-title-lit6-b2-l01-toi-va-cac-ban-title.mp3,planned,0,
nv6-pilot-002,ngu-van,6,lesson-summary,lit6-b2-l01-toi-va-cac-ban-summary,1,Tóm tắt ngắn,"Khi đọc truyện cần chú ý nhân vật, hành động, lời nói, suy nghĩ và sự thay đổi của nhân vật.",vi-v1,vi-VN-Chirp3-HD-Despina,F:\1_A_Disk_D\khuong-binh\lop6-tts-audio\ngu-van-vi-v1-pilot\lesson-summary-lit6-b2-l01-toi-va-cac-ban-summary.mp3,F:\1_A_Disk_D\khuong-binh\lop6-tts-audio\ngu-van-vi-v1-pilot\lesson-summary-lit6-b2-l01-toi-va-cac-ban-summary.mp3,planned,0,
nv6-pilot-003,ngu-van,6,content-card,lit6-b2-l01-toi-va-cac-ban-c01,1,Vào bài,"Bài này luyện: Đọc hiểu truyện về tình bạn, sự khác biệt và ứng xử trong tập thể. Ngữ liệu trong gói là tự biên soạn, dùng để luyện kỹ năng, không copy SGK.",vi-v1,vi-VN-Chirp3-HD-Despina,F:\1_A_Disk_D\khuong-binh\lop6-tts-audio\ngu-van-vi-v1-pilot\content-card-lit6-b2-l01-toi-va-cac-ban-c01.mp3,F:\1_A_Disk_D\khuong-binh\lop6-tts-audio\ngu-van-vi-v1-pilot\content-card-lit6-b2-l01-toi-va-cac-ban-c01.mp3,planned,0,
nv6-pilot-004,ngu-van,6,content-card,lit6-b2-l01-toi-va-cac-ban-c02,1,Ý chính 1,"Khi đọc truyện cần chú ý nhân vật, hành động, lời nói, suy nghĩ và sự thay đổi của nhân vật. Chủ đề tình bạn thường gắn với sự tôn trọng khác biệt, biết lắng nghe và sửa lỗi.",vi-v1,vi-VN-Chirp3-HD-Despina,F:\1_A_Disk_D\khuong-binh\lop6-tts-audio\ngu-van-vi-v1-pilot\content-card-lit6-b2-l01-toi-va-cac-ban-c02.mp3,F:\1_A_Disk_D\khuong-binh\lop6-tts-audio\ngu-van-vi-v1-pilot\content-card-lit6-b2-l01-toi-va-cac-ban-c02.mp3,planned,0,
nv6-pilot-005,ngu-van,6,content-card,lit6-b2-l01-toi-va-cac-ban-c03,1,Ý chính 2,"Chi tiết tiêu biểu giúp nhận ra tính cách nhân vật và thông điệp của văn bản. Liên hệ bản thân cần vừa đủ, bám vào văn bản và không biến thành kể chuyện riêng quá dài.",vi-v1,vi-VN-Chirp3-HD-Despina,F:\1_A_Disk_D\khuong-binh\lop6-tts-audio\ngu-van-vi-v1-pilot\content-card-lit6-b2-l01-toi-va-cac-ban-c03.mp3,F:\1_A_Disk_D\khuong-binh\lop6-tts-audio\ngu-van-vi-v1-pilot\content-card-lit6-b2-l01-toi-va-cac-ban-c03.mp3,planned,0,
nv6-pilot-006,ngu-van,6,content-card,lit6-b2-l01-toi-va-cac-ban-c04,1,Ngữ liệu luyện tập,"Ngày đầu vào lớp 6, An ngồi im ở cuối lớp vì sợ nói sai. Giờ ra chơi, Minh đặt lên bàn An một tờ giấy nhỏ: 'Nếu cậu chưa quen ai, tụi mình có thể bắt đầu bằng một trận cờ ca-rô.' An bật cười. Từ hôm đó, góc cuối lớp bớt im lặng.",vi-v1,vi-VN-Chirp3-HD-Despina,F:\1_A_Disk_D\khuong-binh\lop6-tts-audio\ngu-van-vi-v1-pilot\content-card-lit6-b2-l01-toi-va-cac-ban-c04.mp3,F:\1_A_Disk_D\khuong-binh\lop6-tts-audio\ngu-van-vi-v1-pilot\content-card-lit6-b2-l01-toi-va-cac-ban-c04.mp3,planned,0,
nv6-pilot-007,ngu-van,6,content-card,lit6-b2-l01-toi-va-cac-ban-c05,1,Cách làm mẫu,"Cách làm: đọc kỹ ngữ liệu, gạch chân chi tiết quan trọng, trả lời bằng ý riêng. Ví dụ: Một lời mời chơi cùng có thể giúp bạn mới bớt lạc lõng.",vi-v1,vi-VN-Chirp3-HD-Despina,F:\1_A_Disk_D\khuong-binh\lop6-tts-audio\ngu-van-vi-v1-pilot\content-card-lit6-b2-l01-toi-va-cac-ban-c05.mp3,F:\1_A_Disk_D\khuong-binh\lop6-tts-audio\ngu-van-vi-v1-pilot\content-card-lit6-b2-l01-toi-va-cac-ban-c05.mp3,planned,0,
nv6-pilot-008,ngu-van,6,content-card,lit6-b2-l01-toi-va-cac-ban-c06,1,Lỗi hay gặp,Cẩn thận: Kể lại cốt truyện nhưng không nêu được ý nghĩa.; Đánh giá nhân vật chỉ bằng một hành động đơn lẻ.; Liên hệ bản thân quá dài và xa văn bản.,vi-v1,vi-VN-Chirp3-HD-Despina,F:\1_A_Disk_D\khuong-binh\lop6-tts-audio\ngu-van-vi-v1-pilot\content-card-lit6-b2-l01-toi-va-cac-ban-c06.mp3,F:\1_A_Disk_D\khuong-binh\lop6-tts-audio\ngu-van-vi-v1-pilot\content-card-lit6-b2-l01-toi-va-cac-ban-c06.mp3,planned,0,
nv6-pilot-009,ngu-van,6,content-card,lit6-b2-l01-toi-va-cac-ban-c07,1,Kiểm tra nhanh,Em hãy trả lời nhanh: từ khóa 'nhân vật' trong bài này nghĩa là gì?,vi-v1,vi-VN-Chirp3-HD-Despina,F:\1_A_Disk_D\khuong-binh\lop6-tts-audio\ngu-van-vi-v1-pilot\content-card-lit6-b2-l01-toi-va-cac-ban-c07.mp3,F:\1_A_Disk_D\khuong-binh\lop6-tts-audio\ngu-van-vi-v1-pilot\content-card-lit6-b2-l01-toi-va-cac-ban-c07.mp3,planned,0,
nv6-pilot-010,ngu-van,6,content-card,lit6-b2-l01-toi-va-cac-ban-c08,1,Tóm tắt,Cần nhớ: Nhận biết nhân vật và chi tiết tiêu biểu. | Nêu được thông điệp về tình bạn. | Viết đoạn ngắn liên hệ bản thân.,vi-v1,vi-VN-Chirp3-HD-Despina,F:\1_A_Disk_D\khuong-binh\lop6-tts-audio\ngu-van-vi-v1-pilot\content-card-lit6-b2-l01-toi-va-cac-ban-c08.mp3,F:\1_A_Disk_D\khuong-binh\lop6-tts-audio\ngu-van-vi-v1-pilot\content-card-lit6-b2-l01-toi-va-cac-ban-c08.mp3,planned,0,
